,new_customer_idx,new_historical_existing_cnt
66,19258_SMB_-1,0
67,30877_SMB_-1,0
68,11674_Enterprise_-1,0
69,15347_SMB_-1,0
70,26576_Enterprise_-1,0
71,6207_Enterprise_-1,0
72,32160_Enterprise_-1,0
73,32098_Enterprise_-1,0
74,25591_Enterprise_-1,0
75,13231_Enterprise_-1,0
76,3397_Enterprise_-1,0
77,34270_SMB_-1,0
78,15452_SMB_-1,0
79,7531_SMB_17,1
80,38474_SMB_0,1
81,21729_SMB_-1,0
82,32484_Enterprise_-1,0
83,24066_Enterprise_-1,0
84,2223_Enterprise_-1,0
85,19803_SMB_-1,0
86,36438_SMB_-1,0
87,24665_Enterprise_-1,0
88,24865_SMB_-1,0
89,8821_SMB_-1,0
90,20662_SMB_-1,0
91,28919_Enterprise_20,1
92,2977_SMB_-1,0
93,46447_Enterprise_-1,0
94,25254_SMB_-1,0
95,21436_Enterprise_-1,0
96,34305_SMB_-1,0
97,43153_SMB_-1,0
98,5631_Enterprise_-1,0
99,4821_SMB_-1,0
100,16027_Enterprise_-1,0
101,7933_Enterprise_-1,0
102,46163_Enterprise_-1,0
103,31483_SMB_-1,0
104,15738_Enterprise_-1,0
105,29678_Enterprise_-1,0
106,8529_Enterprise_-1,0
107,11603_SMB_-1,0
108,16617_Enterprise_-1,0
109,33914_SMB_-1,0
110,27350_SMB_-1,0
111,24460_SMB_-1,0
112,40629_Enterprise_-1,0
113,28113_Enterprise_-1,0
114,38293_SMB_-1,0
115,44758_Enterprise_-1,0
116,19147_SMB_-1,0
117,38867_SMB_-1,0
118,39899_Enterprise_-1,0
119,45215_SMB_-1,0
120,15342_Enterprise_-1,0
121,47151_SMB_-1,0
122,43831_SMB_-1,0
123,15601_SMB_-1,0
124,38058_Enterprise_-1,0
125,41699_Enterprise_-1,0
126,30185_SMB_-1,0
127,33589_SMB_-1,0
128,19399_SMB_-1,0
129,38741_SMB_-1,0
130,25867_Enterprise_-1,0
131,38857_SMB_-1,0
132,44490_SMB_-1,0
133,35485_SMB_-1,0
134,5263_Enterprise_-1,0
135,27858_Enterprise_-1,0
136,39007_Enterprise_-1,0
137,21504_Enterprise_5,1
138,40532_SMB_-1,0
139,16959_SMB_-1,0
140,39568_Enterprise_-1,0
141,21819_SMB_2,1
142,36540_Enterprise_-1,0
143,36551_Enterprise_-1,0
144,30151_Enterprise_-1,0
145,381_SMB_-1,0
146,1071_Enterprise_1,1
147,14669_SMB_-1,0
148,10351_SMB_-1,0
149,22021_SMB_-1,0
150,32381_SMB_-1,0
151,47466_Enterprise_115,1
152,14429_Enterprise_-1,0
153,25583_SMB_-1,0
154,8457_Enterprise_-1,0
155,12478_SMB_-1,0
156,31280_SMB_-1,0
157,31280_SMB_-1,0
158,28311_Enterprise_0,1
159,34255_SMB_-1,0
160,10634_Enterprise_-1,0
161,11049_Enterprise_-1,0
162,30197_Enterprise_-1,0
163,1530_Enterprise_-1,0
164,32383_SMB_-1,0
165,32227_SMB_-1,0
166,8596_Enterprise_-1,0
167,16342_SMB_-1,0
168,13508_Enterprise_-1,0
169,23208_Enterprise_1,1
170,24309_Enterprise_-1,0
171,43192_Enterprise_-1,0
172,15119_SMB_-1,0
173,33565_SMB_-1,0
174,11330_Enterprise_0,1
175,38169_SMB_-1,0
176,12914_Enterprise_-1,0
177,24709_Enterprise_-1,0
178,42780_Enterprise_-1,0
179,5736_SMB_-1,0
180,27376_Enterprise_0,1
181,22217_SMB_-1,0
182,38656_SMB_-1,0
183,23014_Enterprise_0,1
184,37027_SMB_-1,0
185,45411_Enterprise_-1,0
186,1976_Enterprise_-1,0
187,33202_SMB_-1,0
188,32047_SMB_-1,0
189,41679_SMB_-1,0
190,40030_Enterprise_-1,0
191,23289_Enterprise_-1,0
192,27303_Enterprise_-1,0
193,41044_Enterprise_-1,0
194,28473_Enterprise_-1,0
195,3284_Enterprise_-1,0
196,33879_Enterprise_-1,0
197,40877_Enterprise_-1,0
198,7578_Enterprise_-1,0
199,16441_Enterprise_-1,0
200,43627_Enterprise_-1,0
201,42662_SMB_-1,0
202,35716_SMB_-1,0
203,37654_Enterprise_-1,0
204,23549_SMB_-1,0
205,11397_SMB_-1,0
206,24512_SMB_-1,0
207,21385_SMB_-1,0
208,35325_Enterprise_-1,0
209,19579_SMB_-1,0
210,39911_Enterprise_-1,0
211,1196_Enterprise_-1,0
212,21522_SMB_-1,0
213,27486_Enterprise_-1,0
214,2584_Enterprise_-1,0
215,10347_SMB_-1,0
216,22317_SMB_1,1
217,15379_Enterprise_-1,0
218,1787_Enterprise_5,1
219,39059_SMB_-1,0
220,41678_SMB_-1,0
221,15037_Enterprise_-1,0
222,39711_SMB_-1,0
223,41114_SMB_-1,0
224,6396_SMB_-1,0
225,22929_SMB_-1,0
226,34762_Enterprise_-1,0
227,1011_SMB_-1,0
228,31205_Enterprise_-1,0
229,29651_Enterprise_-1,0
230,42394_SMB_0,1
231,44225_SMB_-1,0
232,35716_SMB_-1,0
233,4564_Enterprise_-1,0
234,41715_SMB_-1,0
235,11918_SMB_-1,0
236,5328_SMB_-1,0
237,26764_Enterprise_-1,0
238,3245_SMB_-1,0
239,9218_SMB_-1,0
240,4357_SMB_-1,0
241,5343_Enterprise_-1,0
242,6478_SMB_-1,0
243,12779_SMB_-1,0
244,4044_SMB_-1,0
245,14049_SMB_-1,0
246,2942_Enterprise_-1,0
247,4275_SMB_-1,0
248,34250_Enterprise_-1,0
249,781_Enterprise_-1,0
250,8125_Enterprise_-1,0
251,6160_SMB_-1,0
252,20279_Enterprise_-1,0
253,2090_Enterprise_-1,0
254,3779_Enterprise_-1,0
255,29555_SMB_4,1
256,1227_Enterprise_-1,0
257,29394_SMB_-1,0
258,21740_SMB_-1,0
259,2048_SMB_-1,0
260,27438_SMB_-1,0
261,25676_SMB_-1,0
262,38616_SMB_-1,0
263,33683_SMB_0,1
264,10607_SMB_5,1
265,10607_SMB_5,1
266,10846_Enterprise_-1,0
267,23130_SMB_-1,0
268,35128_Enterprise_-1,0
269,43292_SMB_-1,0
270,33334_SMB_0,1
271,9205_Enterprise_-1,0
272,33705_SMB_75,1
273,2514_Enterprise_-1,0
274,29507_Enterprise_-1,0
275,27047_SMB_-1,0
276,33654_Enterprise_-1,0
277,46546_SMB_-1,0
278,18480_Enterprise_-1,0
279,25309_Enterprise_16,1
280,28963_SMB_-1,0
281,34720_Enterprise_6,1
282,47228_Enterprise_-1,0
283,345_SMB_-1,0
284,47018_SMB_-1,0
285,14648_SMB_-1,0
286,29589_SMB_-1,0
287,13828_SMB_-1,0
288,24560_SMB_-1,0
289,1379_SMB_-1,0
290,18075_Enterprise_0,1
291,10839_Enterprise_-1,0
292,27153_Enterprise_-1,0
293,724_SMB_0,1
294,15120_Enterprise_-1,0
295,37184_Enterprise_-1,0
296,30636_SMB_-1,0
297,1041_SMB_-1,0
298,726_SMB_-1,0
299,33238_Enterprise_-1,0
300,28115_Enterprise_-1,0
301,7660_SMB_-1,0
302,46362_SMB_47,1
303,46362_SMB_47,1
304,29594_SMB_-1,0
305,39606_SMB_-1,0
306,1040_SMB_-1,0
307,26151_Enterprise_-1,0
308,45876_SMB_-1,0
309,543_Enterprise_-1,0
310,17913_Enterprise_0,1
311,42067_SMB_0,1
312,27662_Enterprise_1,1
313,40040_SMB_0,1
314,33324_Enterprise_-1,0
315,33324_Enterprise_-1,0
316,10615_SMB_-1,0
317,27309_SMB_-1,0
318,27309_SMB_-1,0
319,30958_SMB_-1,0
320,30958_SMB_-1,0
321,30958_SMB_-1,0
322,30958_SMB_-1,0
323,41452_SMB_-1,0
324,41452_SMB_-1,0
325,25178_SMB_-1,0
326,6634_Enterprise_-1,0
327,6634_Enterprise_-1,0
328,43588_SMB_-1,0
329,43588_SMB_-1,0
330,35831_Enterprise_1,1
331,35560_Enterprise_-1,0
332,45315_Enterprise_-1,0
333,42175_Enterprise_-1,0
334,42175_Enterprise_-1,0
335,5003_SMB_-1,0
336,45191_Enterprise_-1,0
337,45191_Enterprise_-1,0
338,37216_SMB_-1,0
339,18912_SMB_31,1
340,18912_SMB_31,1
341,30801_SMB_49,1
342,30801_SMB_49,1
343,39065_SMB_0,1
344,39065_SMB_0,1
345,4685_Enterprise_-1,0
346,4685_Enterprise_-1,0
347,19207_SMB_-1,0
348,19207_SMB_-1,0
349,39072_Enterprise_-1,0
350,30898_SMB_-1,0
351,38171_SMB_-1,0
352,38171_SMB_-1,0
353,31653_SMB_-1,0
354,31653_SMB_-1,0
355,36448_SMB_-1,0
356,36448_SMB_-1,0
357,43855_Enterprise_-1,0
358,43855_Enterprise_-1,0
359,39235_SMB_-1,0
360,39235_SMB_-1,0
361,10930_Enterprise_10,1
362,15549_Enterprise_-1,0
363,12275_SMB_-1,0
364,46166_Enterprise_-1,0
365,1812_Enterprise_-1,0
366,1812_Enterprise_-1,0
367,7605_Enterprise_-1,0
368,27958_SMB_-1,0
369,33469_Enterprise_-1,0
370,9755_Enterprise_-1,0
371,34195_Enterprise_-1,0
372,27326_SMB_-1,0
373,12932_Enterprise_-1,0
374,34580_Enterprise_-1,0
375,22868_SMB_-1,0
376,36210_Enterprise_11,1
377,14029_SMB_-1,0
378,44169_SMB_-1,0
379,46703_SMB_-1,0
380,19513_Enterprise_40,1
381,15354_SMB_-1,0
382,15354_SMB_-1,0
383,7715_Enterprise_-1,0
384,7715_Enterprise_-1,0
385,32265_SMB_-1,0
386,12164_Enterprise_-1,0
387,12164_Enterprise_-1,0
388,20487_Enterprise_-1,0
389,3452_Enterprise_-1,0
390,23813_Enterprise_-1,0
391,32208_SMB_-1,0
392,29516_Enterprise_-1,0
393,25754_SMB_-1,0
394,35339_SMB_-1,0
395,11012_SMB_-1,0
396,33029_SMB_-1,0
397,33919_Enterprise_-1,0
398,44601_SMB_-1,0
399,46013_Enterprise_23,1
400,1477_SMB_-1,0
401,32233_SMB_-1,0
402,42743_SMB_-1,0
403,5305_SMB_-1,0
404,39486_SMB_-1,0
405,25096_SMB_-1,0
406,20371_SMB_-1,0
407,24379_SMB_-1,0
408,25096_Enterprise_-1,0
409,16237_Enterprise_-1,0
410,45383_Enterprise_-1,0
411,29652_Enterprise_-1,0
412,11037_Enterprise_-1,0
413,26026_Enterprise_-1,0
414,29434_Enterprise_-1,0
415,41314_Enterprise_-1,0
416,43513_SMB_-1,0
417,37487_Enterprise_-1,0
418,30988_Enterprise_-1,0
419,10309_SMB_-1,0
420,25455_SMB_-1,0
421,45652_SMB_-1,0
422,40621_SMB_-1,0
423,41359_SMB_-1,0
424,42960_Enterprise_-1,0
425,37046_Enterprise_-1,0
426,24213_Enterprise_-1,0
427,9926_SMB_-1,0
428,3414_SMB_-1,0
429,25096_SMB_-1,0
430,25096_SMB_-1,0
431,11541_SMB_-1,0
432,34744_SMB_-1,0
433,25096_SMB_-1,0
434,23882_SMB_-1,0
435,4416_SMB_-1,0
436,22465_SMB_-1,0
437,26338_Enterprise_-1,0
438,36624_Enterprise_-1,0
439,25031_SMB_-1,0
440,40823_SMB_-1,0
441,1697_SMB_-1,0
442,30370_SMB_-1,0
443,8149_Enterprise_2,1
444,27447_SMB_1,1
445,13612_SMB_-1,0
446,38964_SMB_-1,0
447,42554_SMB_-1,0
448,877_SMB_-1,0
449,40317_SMB_-1,0
450,38594_Enterprise_-1,0
451,46685_Enterprise_-1,0
452,31236_SMB_-1,0
453,35558_SMB_1,1
454,44398_SMB_-1,0
455,6083_SMB_-1,0
456,24377_SMB_-1,0
457,11037_Enterprise_-1,0
458,5408_SMB_-1,0
459,38837_SMB_-1,0
460,12917_Enterprise_1,1
461,40299_SMB_-1,0
462,4431_Enterprise_4,1
463,3978_Enterprise_-1,0
464,30486_SMB_-1,0
465,36227_SMB_-1,0
466,13528_SMB_-1,0
467,19640_Enterprise_2,1
468,9395_Enterprise_-1,0
469,31679_Enterprise_-1,0
470,1080_SMB_-1,0
471,45089_SMB_-1,0
472,41236_Enterprise_-1,0
473,46370_SMB_-1,0
474,31277_SMB_-1,0
475,23141_Enterprise_-1,0
476,44552_SMB_-1,0
477,21435_Enterprise_-1,0
478,8898_Enterprise_-1,0
479,294_SMB_-1,0
480,44884_Enterprise_-1,0
481,6530_Enterprise_-1,0
482,11732_Enterprise_-1,0
483,33603_SMB_-1,0
484,26515_SMB_-1,0
485,12400_Enterprise_-1,0
486,41782_Enterprise_-1,0
487,34271_SMB_7,1
488,16057_Enterprise_-1,0
489,30033_SMB_1,1
490,1310_Enterprise_-1,0
491,39323_SMB_-1,0
492,45136_SMB_-1,0
493,14709_SMB_-1,0
494,5056_SMB_-1,0
495,21681_Enterprise_61,1
496,32655_SMB_-1,0
497,41902_Enterprise_-1,0
498,43410_SMB_-1,0
499,42569_Enterprise_-1,0
500,41973_Enterprise_0,1
501,28860_SMB_-1,0
502,3457_SMB_-1,0
503,39791_Enterprise_-1,0
504,17922_Enterprise_-1,0
505,21106_SMB_-1,0
506,6122_SMB_0,1
507,31956_SMB_-1,0
508,8397_Enterprise_17,1
509,47466_Enterprise_4,1
510,46013_Enterprise_23,1
511,12455_SMB_-1,0
512,45189_Enterprise_-1,0
513,3390_Enterprise_-1,0
514,37644_SMB_-1,0
515,29902_Enterprise_-1,0
516,30869_SMB_-1,0
517,22141_SMB_-1,0
518,32199_Enterprise_-1,0
519,30044_SMB_-1,0
520,32102_SMB_-1,0
521,24613_SMB_-1,0
522,35618_SMB_-1,0
523,26222_Enterprise_-1,0
524,32640_SMB_-1,0
525,8149_Enterprise_2,1
526,15986_SMB_-1,0
527,1020_SMB_-1,0
528,20830_Enterprise_-1,0
529,34272_SMB_6,1
530,39344_SMB_-1,0
531,8345_SMB_-1,0
532,388_SMB_-1,0
533,37826_SMB_-1,0
534,17348_Enterprise_-1,0
535,45141_Enterprise_-1,0
536,29370_Enterprise_45,1
537,14466_SMB_-1,0
538,1083_SMB_-1,0
539,6884_Enterprise_-1,0
540,43906_SMB_-1,0
541,10064_Enterprise_-1,0
542,15131_SMB_-1,0
543,10668_SMB_-1,0
544,26142_SMB_-1,0
545,44657_SMB_-1,0
546,10668_Enterprise_-1,0
547,39430_SMB_11,1
548,32704_SMB_-1,0
549,347_SMB_-1,0
550,45730_SMB_-1,0
551,40080_SMB_-1,0
552,38705_Enterprise_-1,0
553,37657_Enterprise_-1,0
554,21024_Enterprise_1,1
555,13485_SMB_3,1
556,5069_Enterprise_-1,0
557,32356_Enterprise_-1,0
558,17457_Enterprise_-1,0
559,45785_SMB_-1,0
560,21672_SMB_-1,0
561,9737_Enterprise_-1,0
562,14422_Enterprise_-1,0
563,21795_SMB_-1,0
564,3885_Enterprise_-1,0
565,22601_SMB_-1,0
566,37141_SMB_-1,0
567,17767_SMB_-1,0
568,27447_SMB_1,1
569,16532_SMB_4,1
570,27447_SMB_1,1
571,32705_SMB_-1,0
572,31753_Enterprise_-1,0
573,21179_SMB_-1,0
574,31174_SMB_-1,0
575,42983_Enterprise_-1,0
576,34758_Enterprise_-1,0
577,43163_SMB_-1,0
578,11801_Enterprise_-1,0
579,18241_SMB_-1,0
580,18740_SMB_-1,0
581,8142_SMB_-1,0
582,45045_SMB_-1,0
583,17659_Enterprise_-1,0
584,21527_Enterprise_-1,0
585,11205_SMB_-1,0
586,24065_Enterprise_-1,0
587,37788_Enterprise_-1,0
588,4382_SMB_-1,0
589,16157_Enterprise_-1,0
590,39947_Enterprise_-1,0
591,29013_Enterprise_-1,0
592,42692_Enterprise_-1,0
593,14772_Enterprise_-1,0
594,47466_Enterprise_4,1
595,38201_Enterprise_-1,0
596,30040_Enterprise_-1,0
597,34185_Enterprise_-1,0
598,44679_SMB_1,1
599,37382_SMB_-1,0
600,22931_SMB_-1,0
601,27141_SMB_-1,0
602,2940_SMB_0,1
603,8117_SMB_-1,0
604,12326_SMB_-1,0
605,5052_Enterprise_-1,0
606,8752_Enterprise_-1,0
607,20350_SMB_-1,0
608,13447_SMB_-1,0
609,42254_SMB_0,1
610,33091_SMB_-1,0
611,24424_SMB_-1,0
612,33765_SMB_-1,0
613,39472_SMB_-1,0
614,43595_SMB_-1,0
615,6187_SMB_-1,0
616,23332_Enterprise_1,1
617,41_SMB_-1,0
618,29026_SMB_-1,0
619,41406_SMB_-1,0
620,24308_SMB_-1,0
621,6378_Enterprise_-1,0
622,28600_SMB_-1,0
623,19125_Enterprise_-1,0
624,19033_SMB_-1,0
625,27831_SMB_-1,0
626,23023_SMB_-1,0
627,20779_SMB_-1,0
628,126_Enterprise_4,1
629,14029_SMB_-1,0
630,23749_Enterprise_-1,0
631,27349_SMB_-1,0
632,45779_Enterprise_-1,0
633,40270_Enterprise_-1,0
634,33719_Enterprise_-1,0
635,6676_Enterprise_-1,0
636,14283_SMB_-1,0
637,44579_Enterprise_1,1
638,20306_Enterprise_-1,0
639,43045_SMB_-1,0
640,36185_SMB_-1,0
641,37680_SMB_-1,0
642,26_Enterprise_-1,0
643,24160_Enterprise_-1,0
644,30995_Enterprise_-1,0
645,32557_SMB_-1,0
646,25826_SMB_-1,0
647,46854_SMB_-1,0
648,24139_SMB_-1,0
649,4335_SMB_-1,0
650,28782_SMB_-1,0
651,45547_SMB_-1,0
652,13143_Enterprise_-1,0
653,22499_SMB_-1,0
654,43950_Enterprise_-1,0
655,31437_SMB_-1,0
656,2844_SMB_-1,0
657,34475_SMB_-1,0
658,624_SMB_-1,0
659,24104_Enterprise_3,1
660,15188_Enterprise_-1,0
661,20023_SMB_-1,0
662,19462_SMB_-1,0
663,14690_SMB_-1,0
664,19432_SMB_0,1
665,27415_SMB_-1,0
666,37163_SMB_-1,0
667,12487_SMB_-1,0
668,11604_SMB_-1,0
669,41369_SMB_-1,0
670,17993_SMB_-1,0
671,21216_SMB_-1,0
672,35054_SMB_-1,0
673,19465_Enterprise_-1,0
674,13323_SMB_-1,0
675,18030_SMB_11,1
676,20938_SMB_-1,0
677,16730_SMB_-1,0
678,18030_SMB_11,1
679,27553_Enterprise_-1,0
680,46797_SMB_-1,0
681,9694_SMB_-1,0
682,5605_Enterprise_3,1
683,5110_Enterprise_-1,0
684,12028_Enterprise_-1,0
685,39684_SMB_-1,0
686,21151_Enterprise_-1,0
687,43090_SMB_-1,0
688,3729_SMB_-1,0
689,1517_Enterprise_-1,0
690,40656_SMB_0,1
691,5998_SMB_-1,0
692,45426_SMB_-1,0
693,22013_SMB_-1,0
694,18534_SMB_-1,0
695,13559_Enterprise_-1,0
696,41494_SMB_-1,0
697,33673_SMB_57,1
698,11477_SMB_-1,0
699,22047_Enterprise_40,1
700,867_SMB_-1,0
701,41928_SMB_-1,0
702,33395_SMB_-1,0
703,44631_SMB_-1,0
704,43290_Enterprise_-1,0
705,40658_Enterprise_-1,0
706,36309_SMB_-1,0
707,15411_Enterprise_1,1
708,28162_SMB_-1,0
709,33002_Enterprise_-1,0
710,45155_SMB_0,1
711,37207_Enterprise_-1,0
712,42198_SMB_-1,0
713,2738_SMB_-1,0
714,5748_Enterprise_-1,0
715,45211_Enterprise_-1,0
716,12880_SMB_-1,0
717,46566_SMB_-1,0
718,37476_SMB_-1,0
719,19759_SMB_-1,0
720,35697_SMB_-1,0
721,29872_Enterprise_-1,0
722,29811_SMB_-1,0
723,10511_SMB_-1,0
724,4553_SMB_-1,0
725,13038_SMB_-1,0
726,44191_SMB_-1,0
727,26120_SMB_-1,0
728,45814_SMB_-1,0
729,30160_Enterprise_-1,0
730,44254_Enterprise_-1,0
731,22071_SMB_-1,0
732,32023_SMB_-1,0
733,33984_Enterprise_175,1
734,25345_Enterprise_-1,0
735,12197_SMB_-1,0
736,29013_Enterprise_-1,0
737,6625_SMB_-1,0
738,16459_SMB_-1,0
739,38745_SMB_-1,0
740,4149_SMB_-1,0
741,36956_SMB_-1,0
742,44512_SMB_-1,0
743,6774_Enterprise_-1,0
744,19630_SMB_-1,0
745,30206_Enterprise_0,1
746,34748_Enterprise_11,1
747,42118_SMB_-1,0
748,44900_SMB_-1,0
749,43705_Enterprise_-1,0
750,39927_Enterprise_-1,0
751,24379_SMB_-1,0
752,38475_Enterprise_-1,0
753,15520_SMB_-1,0
754,43940_SMB_-1,0
755,5273_SMB_-1,0
756,22036_SMB_-1,0
757,4840_SMB_-1,0
758,5099_SMB_-1,0
759,6259_Enterprise_-1,0
760,2598_Enterprise_-1,0
761,18274_SMB_-1,0
762,45099_SMB_-1,0
763,24470_Enterprise_2,1
764,19145_Enterprise_-1,0
765,30416_Enterprise_-1,0
766,11875_Enterprise_0,1
767,1106_SMB_-1,0
768,24753_Enterprise_-1,0
769,33722_SMB_0,1
770,23239_SMB_13,1
771,21281_SMB_-1,0
772,14935_SMB_-1,0
773,10210_SMB_-1,0
774,32084_SMB_1,1
775,32434_SMB_-1,0
776,28655_SMB_-1,0
777,37564_SMB_-1,0
778,37626_SMB_-1,0
779,14300_SMB_-1,0
780,13435_SMB_12,1
781,4764_SMB_0,1
782,36574_Enterprise_-1,0
783,29635_SMB_0,1
784,27448_Enterprise_1,1
785,30982_SMB_-1,0
786,35701_Enterprise_99,1
787,13601_SMB_2,1
788,35701_Enterprise_99,1
789,46808_SMB_-1,0
790,37006_Enterprise_3,1
791,33857_Enterprise_-1,0
792,2914_Enterprise_-1,0
793,23988_SMB_-1,0
794,14681_SMB_-1,0
795,33625_Enterprise_-1,0
796,5702_Enterprise_15,1
797,22649_Enterprise_-1,0
798,21542_Enterprise_1,1
799,23021_Enterprise_1,1
800,30995_Enterprise_-1,0
801,11447_SMB_-1,0
802,40775_SMB_-1,0
803,37056_Enterprise_-1,0
804,4307_Enterprise_-1,0
805,40221_Enterprise_-1,0
806,7195_Enterprise_-1,0
807,38300_Enterprise_1,1
808,4307_Enterprise_-1,0
809,41107_SMB_1,1
810,17376_Enterprise_-1,0
811,46058_Enterprise_13,1
812,42283_SMB_-1,0
813,41051_Enterprise_-1,0
814,37080_Enterprise_-1,0
815,34974_Enterprise_-1,0
816,4673_Enterprise_-1,0
817,7062_Enterprise_0,1
818,33460_SMB_-1,0
819,15446_Enterprise_-1,0
820,4872_SMB_-1,0
821,40801_Enterprise_-1,0
822,40985_SMB_-1,0
823,27033_Enterprise_-1,0
824,27655_SMB_-1,0
825,27352_Enterprise_-1,0
826,10262_Enterprise_-1,0
827,37471_Enterprise_-1,0
828,47224_Enterprise_-1,0
829,31240_SMB_-1,0
830,2319_SMB_-1,0
831,30706_Enterprise_8,1
832,41846_Enterprise_-1,0
833,13927_SMB_-1,0
834,41626_SMB_-1,0
835,38516_SMB_-1,0
836,41625_Enterprise_-1,0
837,17826_Enterprise_-1,0
838,2695_SMB_-1,0
839,12401_Enterprise_-1,0
840,37962_SMB_-1,0
841,33939_SMB_-1,0
842,33823_SMB_-1,0
843,33922_SMB_-1,0
844,33903_SMB_-1,0
845,33923_Enterprise_-1,0
846,11396_Enterprise_-1,0
847,20634_SMB_-1,0
848,33861_SMB_-1,0
849,6909_Enterprise_-1,0
850,28225_Enterprise_-1,0
851,36161_Enterprise_-1,0
852,15598_SMB_-1,0
853,3287_Enterprise_-1,0
854,38114_Enterprise_-1,0
855,31127_SMB_-1,0
856,27663_SMB_-1,0
857,31978_Enterprise_-1,0
858,39592_Enterprise_-1,0
859,10752_Enterprise_-1,0
860,37179_SMB_-1,0
861,46724_SMB_-1,0
862,15344_SMB_-1,0
863,39079_Enterprise_-1,0
864,3532_SMB_-1,0
865,32559_SMB_-1,0
866,9358_Enterprise_-1,0
867,4968_SMB_-1,0
868,19578_SMB_-1,0
869,31482_SMB_-1,0
870,30278_SMB_-1,0
871,46152_SMB_-1,0
872,32379_Enterprise_-1,0
873,31717_Enterprise_-1,0
874,5892_SMB_-1,0
875,32379_Enterprise_-1,0
876,126_Enterprise_4,1
877,38418_Enterprise_2,1
878,19511_Enterprise_-1,0
879,6497_SMB_-1,0
880,21821_SMB_-1,0
881,29356_SMB_-1,0
882,19524_Enterprise_-1,0
883,22305_SMB_1,1
884,21368_Enterprise_1,1
885,13596_SMB_-1,0
886,22382_SMB_-1,0
887,25218_Enterprise_-1,0
888,31238_SMB_-1,0
889,30237_SMB_-1,0
890,40884_SMB_-1,0
891,18759_SMB_-1,0
892,36587_Enterprise_-1,0
893,44603_SMB_-1,0
894,20773_SMB_-1,0
895,40342_SMB_-1,0
896,13592_Enterprise_-1,0
897,22625_SMB_-1,0
898,45329_Enterprise_-1,0
899,2917_Enterprise_4,1
900,45173_SMB_-1,0
901,43869_Enterprise_-1,0
902,39393_SMB_1,1
903,39589_SMB_-1,0
904,2939_Enterprise_-1,0
905,34863_SMB_4,1
906,31927_SMB_-1,0
907,13171_SMB_-1,0
908,10372_Enterprise_-1,0
909,2863_SMB_-1,0
910,46684_SMB_-1,0
911,40594_SMB_-1,0
912,37496_SMB_-1,0
913,24552_Enterprise_-1,0
914,15157_SMB_-1,0
915,15648_SMB_-1,0
916,18719_SMB_0,1
917,3079_SMB_-1,0
918,6698_SMB_-1,0
919,21539_SMB_-1,0
920,41387_SMB_2,1
921,271_Enterprise_-1,0
922,40884_SMB_-1,0
923,2328_SMB_-1,0
924,1189_Enterprise_-1,0
925,4655_SMB_-1,0
926,44733_SMB_-1,0
927,25840_Enterprise_0,1
928,14651_SMB_-1,0
929,13428_SMB_-1,0
930,42363_SMB_-1,0
931,37102_SMB_-1,0
932,154_Enterprise_-1,0
933,18393_SMB_-1,0
934,25545_Enterprise_-1,0
935,3903_SMB_-1,0
936,24197_SMB_-1,0
937,41381_Enterprise_-1,0
938,344_SMB_-1,0
939,43489_SMB_-1,0
940,38385_Enterprise_-1,0
941,8746_SMB_-1,0
942,22553_SMB_2,1
943,21822_SMB_-1,0
944,38181_Enterprise_-1,0
945,4404_SMB_-1,0
946,46694_Enterprise_21,1
947,20680_Enterprise_-1,0
948,37088_SMB_0,1
